                              10          100           500
native_sort              0.004053    0.046492      0.291824
bubble_sort_v0           0.031710    1.753807     46.900034
bubble_sort_v1           0.028610    1.817942     48.386335
selection_sort           0.023603    0.871897     22.794962
insertion_sort           0.019312    0.764132     20.077705
binary_insertion_sort    0.058174    1.160383     12.059927
cocktail_sort            0.030041    1.564026     42.101145
shell_sort               0.039577    0.464201      3.518105
merge_sort               0.078678    0.899792      5.316019
quick_sort               0.035048    0.428200      2.874136
insertion_quick_sort     0.027180    0.432730      2.749205
heap_sort                0.044584    0.705957      4.818678
counting_sort          133.041143  162.541628    157.502413
bucket_sort              0.060081    0.313520      1.557350
radix_sort               0.164270    0.932693      4.694223
tim_sort                 0.029564    0.498056      3.918171
comb_sort                0.028849    0.357151      3.024340
bingo_sort               0.032663    1.119375     27.894735
pigeonhole_sort        144.453526  178.150892    183.889627
cycle_sort               0.042200    2.320766     65.836906
gnome_sort               0.048161    2.071381     56.647778
stooge_sort              0.309706  196.009636  16133.211613
shaker_sort              0.035048    1.579285     42.567015
