                         10        100        1000
f0 n                   1.0000    2.0000     3.0000
f1 1.5^n               1.7609   17.6091   176.0913
f2 8n^3 + 17n^2 + 111  3.9917    6.9122     9.9040
f3 log(n)^2            0.7244    1.3265     1.6787
f4 2^n                 3.0103   30.1030   301.0300
f5 log(log(n))        -0.0788    0.1839     0.2862
f6 n^2log(n)^3         3.0866    5.9897     8.5180
f7 2^n(n^2 + 1)        5.0146   34.1030   307.0300
f8 n^3 + nlog(n)^2     3.0224    6.0009     9.0000
f9 10000               4.0000    4.0000     4.0000
f10 n!                 6.5598  157.9700  2567.6046
f11 n^2.7              2.7000    5.4000     8.1000
f12 n^1.6              1.6000    3.2000     4.8000
f13 n^2.81             2.8100    5.6200     8.4300
                         10        100        1000
f5 log(log(n))        -0.0788    0.1839     0.2862
f3 log(n)^2            0.7244    1.3265     1.6787
f0 n                   1.0000    2.0000     3.0000
f9 10000               4.0000    4.0000     4.0000
f12 n^1.6              1.6000    3.2000     4.8000
f11 n^2.7              2.7000    5.4000     8.1000
f13 n^2.81             2.8100    5.6200     8.4300
f6 n^2log(n)^3         3.0866    5.9897     8.5180
f8 n^3 + nlog(n)^2     3.0224    6.0009     9.0000
f2 8n^3 + 17n^2 + 111  3.9917    6.9122     9.9040
f1 1.5^n               1.7609   17.6091   176.0913
f4 2^n                 3.0103   30.1030   301.0300
f7 2^n(n^2 + 1)        5.0146   34.1030   307.0300
f10 n!                 6.5598  157.9700  2567.6046
